date,book,strategy,instrument,pnl,exposure,return
2024-01-01,Alpha,Macro,GBPUSD,1200,100000,0.012
2024-01-02,Alpha,Macro,GBPUSD,-300,98000,-0.003
2024-01-03,Beta,RV,EURGBP,850,75000,0.011
2024-01-04,Beta,RV,EURGBP,400,76000,0.005
2024-01-05,Gamma,Credit,UK10Y,-500,50000,-0.010
2024-01-08,Gamma,Credit,UK10Y,700,52000,0.014
2024-01-09,Alpha,Macro,GBPUSD,650,102000,0.006
2024-01-10,Beta,RV,EURGBP,-250,73000,-0.003
2024-01-11,Gamma,Credit,UK10Y,900,54000,0.017
2024-01-12,Alpha,Macro,GBPUSD,300,101000,0.003
2024-01-15,Beta,RV,EURGBP,550,78000,0.007
2024-01-16,Gamma,Credit,UK10Y,-200,51000,-0.004
